prof,code,lecture,workload,personality,overall,challenge,learning
Amy Hoover,CS4100,4.3375,4.0,4.488888888888888,4.699999999999999,3.0642857142857145,3.914285714285714
Amy Hoover,CS5100,3.4054276315789473,12.0,3.125,3.270121951219512,3.66497975708502,3.5163678426836324
Andrea Hauser,CS1200,3.4054276315789473,12.0,3.125,3.270121951219512,3.66497975708502,3.5163678426836324
Andrea Parker,CS5340,4.484322691197692,4.0,3.7889971139971137,4.580353535353535,3.4807070707070706,4.0397021232735515
Andrew Dickens,CS5001,4.225378787878788,16.0,3.6136363636363638,4.359848484848485,3.9722222222222223,4.113275613275613
Anthony Mullen,CS5001,4.017857142857142,12.0,4.25,4.071428571428571,3.9505494505494507,4.137362637362637
Anthony Mullen,CS5010,4.3500000000000005,16.0,4.333888888888889,4.43,4.054166666666667,4.28
Anthony Mullen,CS5310,4.117647058823529,20.0,4.245098039215686,4.125490196078431,4.284313725490196,4.136029411764706
Anthony Mullen,CS5610,4.6000000000000005,12.0,4.6000000000000005,4.4,4.5,4.485714285714287
Anurag Bhardwaj,CS5800,4.3125,10.0,4.5,4.5,4.25,4.214285714285714
Bahram Shafai,CS5020,3.9423076923076925,16.0,4.0,3.8076923076923075,4.3076923076923075,3.9468864468864466
Benjamin Hescott,CS2000,4.575,14.0,3.883333333333333,4.55,4.6,4.596825396825397
Benjamin Hescott,CS3800,4.7295454545454545,12.0,4.803030303030304,4.827272727272727,4.627272727272727,4.6460317460317455
Benjamin Lerner,CS2500,4.811715766503001,12.0,4.870203673395163,4.9093016912165846,4.62740362474405,4.701492584471308
Benjamin Lerner,CS2510,4.472334375479945,15.0,4.04953088685571,4.596509520039055,4.4454052756368245,4.39018622147276
Benjamin Lerner,CS3500,4.617390785755614,16.0,4.219359540406695,4.747800078934636,4.513776262242732,4.551261064060157
Benjamin Lerner,CS4410,4.28672913353159,20.0,3.8554421453862275,4.303536373683209,4.348966892894065,4.288028278630343
Benjamin Lerner,CS6410,4.748611111111112,20.0,3.9444444444444446,4.95,4.75,4.784126984126984
Bilal Ahmed,CS6140,4.589285714285714,20.0,3.928571428571429,4.928571428571429,4.785714285714286,4.673469387755103
Brianne McDonough,CS1210,4.694444444444445,20.0,4.814814814814816,4.722222222222222,4.756944444444445,4.682539682539683
Bruce Chhay,CS5200,4.279823717948718,4.0,4.477255707255708,4.518675213675214,3.466068376068376,3.7928632478632474
Byron Wallace,CS2000,4.34998840445269,12.0,4.03392044463473,4.419635126777984,4.0962513676799395,4.180762434844067
Byron Wallace,CS2500,4.523260869565217,12.0,4.762330917874396,4.66,4.645833333333334,4.541968466316293
Byron Wallace,CS4100,4.316477272727273,16.0,4.510087719298245,4.363636363636363,4.4952153110047846,4.246969696969697
Byron Wallace,CS7180,4.875,12.0,4.095238095238096,4.964285714285714,4.928571428571429,4.826530612244897
Chang Liu,CS5010,4.824999999999999,8.0,4.1000000000000005,5.0,4.8,4.742857142857143
Christopher Amato,CS4100,4.141666666666667,20.0,4.177777777777778,4.2,4.2176470588235295,4.151155462184874
Christopher Amato,CS5100,3.952305491161982,14.0,4.272335507629625,4.009167303284951,4.378501400560224,4.000586755078207
Christopher Amato,CS6140,3.6730396181461087,15.0,3.6666171519112694,3.6510323826500297,4.046358543417367,3.733523263014715
Christopher Wilson,CS2500,3.146551724137931,20.0,3.4854269293924465,3.103448275862069,3.8972148541114056,3.185550082101806
Christopher Wilson,CS2550,4.689338235294118,16.0,4.811274509803922,4.882352941176471,4.649321266968325,4.370273109243697
Christopher Wilson,CS3700,4.741071428571429,12.0,4.7477954144620815,4.803571428571429,4.545634920634921,4.673469387755101
Claire Wassinger,CS1200,4.78751674925009,16.0,4.167975040257649,4.895247324814296,4.728581121945428,4.707358307932235
Clark Freifeld,CS2510,4.408095376845377,4.0,4.407277907277906,4.641608391608392,3.5168997668997672,4.116494616494617
Clark Freifeld,CS3500,4.177473107632752,16.444444444444443,3.9760880698306664,4.174733291239855,4.375641976507611,4.211933114618353
Clark Freifeld,CS4900,3.80290301983126,19.2,4.032287325842441,3.8419144338444013,4.203284323760662,3.8767478619155
